lhs_rule,rhs_rule,support,confidence,coverage,lift,count
{ trigo y moron} , {sopa del dia cordero},0.011183237997300598,1,0.011183237997300598,89.41954022988506,174
{sopa del dia cordero} , { trigo y moron},0.011183237997300598,1,0.011183237997300598,89.41954022988506,174
{chicharron de pollo jr.} , {caldo de gallina jr.},0.07294813291342632,0.49112938122025096,0.14853139661932002,1.8444320643026513,1135
"{chaufa de pollo,chicharron de pollo jr.} ", {caldo de gallina jr.},0.032778456198984514,0.4793233082706767,0.06838485763866572,1.8000944613525125,510
{chicharron de pollo jr.} , {chaufa de pollo},0.06838485763866572,0.4604067503245348,0.14853139661932002,1.956697248920906,1064
"{caldo de gallina jr.,chicharron de pollo jr.} ", {chaufa de pollo},0.032778456198984514,0.44933920704845814,0.07294813291342632,1.9096609457708167,510
{chaufa de pollo} , {caldo de gallina jr.},0.10521241725046597,0.44714558863698445,0.2352978983225143,1.6792513187552116,1637
{caldo de gallina jr.} , {chaufa de pollo},0.10521241725046597,0.39512430605841176,0.26627675300469184,1.6792513187552114,1637
"{caldo de gallina jr.,chaufa de pollo} ", {chicharron de pollo jr.},0.032778456198984514,0.31154551007941356,0.10521241725046598,2.0975060975013395,510
{chaufa de pollo} , {chicharron de pollo jr.},0.06838485763866572,0.29063097514340347,0.23529789832251427,1.9566972489209065,1064
{caldo de gallina jr.} , {chicharron de pollo jr.},0.07294813291342632,0.2739560704803283,0.26627675300469184,1.8444320643026517,1135
{} , {caldo de gallina jr.},0.26627675300469184,0.26627675300469184,1,1,4143
{} , {chaufa de pollo},0.2352978983225143,0.2352978983225143,1,1,3661
{chaufa al cilindro} , {sopa criolla},0.016839128478694003,0.2322695035460993,0.07249823253422456,1.0921369615212326,262
{papa rellena} , {chaufa de pollo},0.010797609100841956,0.21875,0.04936049874670608,0.9296725621414914,168
{2x1 1/4 de pollo a la brasa} , {chaufa de pollo},0.011247509480043705,0.21766169154228857,0.051674272125457936,0.9250473255139218,175
{} , {caldo de gallina},0.2176232405681599,0.2176232405681599,1,1,3386
{} , {sopa criolla},0.21267433639694067,0.21267433639694067,1,1,3309
{papa rellena} , {sopa criolla},0.010283437238897101,0.20833333333333334,0.04936049874670608,0.979588496020953,160
{chaufa al cilindro} , {caldo de gallina},0.014461083617199048,0.19946808510638298,0.07249823253422456,0.9165752912493246,225
{sopa criolla} , {caldo de gallina},0.03316408509544315,0.1559383499546691,0.21267433639694064,0.7165519158135548,516
{caldo de gallina} , {sopa criolla},0.03316408509544315,0.15239220318960425,0.2176232405681599,0.7165519158135547,516
{} , {chicharron de pollo jr.},0.14853139661932,0.14853139661932,1,1,2311
{sopa criolla} , {chaufa de pollo},0.025194421235297897,0.11846479298881837,0.21267433639694067,0.5034672805553196,392
{chaufa de pollo} , {sopa criolla},0.025194421235297897,0.10707456978967496,0.23529789832251427,0.5034672805553196,392
{chicharron de pollo jr.} , {sopa criolla},0.014975255479143903,0.10082215491129382,0.14853139661932,0.47406827085670006,233
